               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.031529,            0.014058,                   0,             0.83138,             0.88259,               0.827,             0.33552,            0.031845,            0.008444,                   0,           0.0072758,           0.0072758,           0.0072758
                 121,            0.031905,            0.014501,                   0,             0.89624,             0.85802,             0.89274,             0.37385,            0.029245,           0.0081522,                   0,           0.0072361,           0.0072361,           0.0072361
                 122,            0.030452,            0.014168,                   0,             0.81974,             0.90123,             0.88079,             0.36688,            0.032259,            0.010684,                   0,           0.0071962,           0.0071962,           0.0071962
                 123,            0.032321,            0.014185,                   0,             0.91536,             0.87037,             0.90032,             0.36024,            0.034084,            0.011053,                   0,           0.0071561,           0.0071561,           0.0071561
                 124,            0.030921,            0.014165,                   0,             0.91408,             0.91975,             0.90774,             0.36476,            0.033928,            0.011902,                   0,            0.007116,            0.007116,            0.007116
                 125,            0.032363,            0.014265,                   0,             0.87342,              0.8945,             0.89126,             0.39123,            0.036803,            0.008377,                   0,           0.0070757,           0.0070757,           0.0070757
                 126,            0.030856,            0.014221,                   0,             0.96615,             0.88272,             0.92934,             0.40933,            0.035406,             0.01038,                   0,           0.0070353,           0.0070353,           0.0070353
                 127,             0.03197,            0.014461,                   0,              0.8458,             0.88272,             0.87702,             0.36538,            0.039016,           0.0090737,                   0,           0.0069948,           0.0069948,           0.0069948
                 128,            0.030395,            0.014077,                   0,             0.88115,             0.86957,             0.89594,             0.40191,            0.031887,           0.0087688,                   0,           0.0069541,           0.0069541,           0.0069541
                 129,            0.031729,            0.013802,                   0,             0.91665,             0.88253,             0.92094,             0.40429,            0.027088,           0.0082703,                   0,           0.0069134,           0.0069134,           0.0069134
                 130,            0.031375,            0.014233,                   0,             0.82098,             0.82096,              0.8554,             0.32814,            0.034954,           0.0093555,                   0,           0.0068726,           0.0068726,           0.0068726
                 131,            0.032206,            0.014375,                   0,             0.93243,             0.85184,                0.91,             0.37503,            0.036143,           0.0099485,                   0,           0.0068316,           0.0068316,           0.0068316
                 132,            0.031914,            0.014038,                   0,             0.91772,             0.89504,             0.91445,             0.38858,             0.02828,           0.0079638,                   0,           0.0067906,           0.0067906,           0.0067906
                 133,            0.031434,            0.013557,                   0,              0.8559,             0.88272,             0.85736,             0.35925,            0.033361,           0.0079357,                   0,           0.0067495,           0.0067495,           0.0067495
                 134,            0.032547,            0.014047,                   0,             0.95918,             0.87032,             0.92145,                 0.4,            0.035124,           0.0094594,                   0,           0.0067083,           0.0067083,           0.0067083
                 135,            0.030276,            0.013563,                   0,             0.95333,             0.88268,             0.91723,             0.42895,            0.030389,           0.0082579,                   0,           0.0066671,           0.0066671,           0.0066671
                 136,            0.029691,            0.013445,                   0,             0.89618,             0.91358,             0.92938,             0.40163,            0.031833,           0.0094304,                   0,           0.0066257,           0.0066257,           0.0066257
                 137,            0.031044,            0.014147,                   0,             0.94805,             0.90112,             0.93923,              0.3912,            0.033036,           0.0083565,                   0,           0.0065843,           0.0065843,           0.0065843
                 138,            0.029944,            0.013668,                   0,             0.91925,              0.9135,             0.92251,             0.39903,            0.038236,           0.0081443,                   0,           0.0065429,           0.0065429,           0.0065429
                 139,            0.030553,            0.013925,                   0,             0.91587,             0.87654,             0.89277,             0.39585,            0.036344,           0.0080627,                   0,           0.0065013,           0.0065013,           0.0065013
                 140,            0.031089,            0.013598,                   0,             0.88679,             0.87032,             0.88172,             0.38022,            0.032317,           0.0079513,                   0,           0.0064597,           0.0064597,           0.0064597
                 141,            0.030179,            0.013869,                   0,             0.91275,             0.83944,             0.88785,              0.3508,            0.037443,           0.0085847,                   0,           0.0064181,           0.0064181,           0.0064181
                 142,             0.03204,            0.013826,                   0,             0.90724,             0.90741,             0.92715,             0.38333,            0.037727,           0.0091152,                   0,           0.0063764,           0.0063764,           0.0063764
                 143,            0.030486,            0.013318,                   0,             0.88234,             0.83325,             0.87598,             0.34804,            0.031267,            0.010505,                   0,           0.0063347,           0.0063347,           0.0063347
                 144,            0.029262,            0.013864,                   0,             0.94847,             0.91358,             0.93981,             0.41585,            0.033475,           0.0083159,                   0,            0.006293,            0.006293,            0.006293
                 145,            0.029668,            0.013589,                   0,              0.9297,             0.90123,             0.92709,              0.3799,            0.034916,           0.0092838,                   0,           0.0062512,           0.0062512,           0.0062512
                 146,            0.029807,            0.013152,                   0,             0.94904,             0.91974,              0.9396,             0.38237,            0.031373,           0.0086797,                   0,           0.0062093,           0.0062093,           0.0062093
                 147,            0.029578,            0.013955,                   0,              0.9006,             0.89489,             0.91121,             0.37906,             0.03503,           0.0091308,                   0,           0.0061675,           0.0061675,           0.0061675
                 148,            0.029074,            0.013679,                   0,             0.88227,             0.83266,             0.84436,             0.33599,             0.03761,            0.010119,                   0,           0.0061256,           0.0061256,           0.0061256
                 149,            0.029335,            0.013476,                   0,             0.93548,             0.89506,             0.93708,             0.39821,             0.03592,           0.0086003,                   0,           0.0060838,           0.0060838,           0.0060838
                 150,            0.029627,            0.013016,                   0,             0.91063,             0.88272,             0.91394,             0.37647,            0.037626,            0.008911,                   0,           0.0060419,           0.0060419,           0.0060419
                 151,            0.029159,            0.013165,                   0,             0.91822,             0.90104,             0.92955,             0.35411,            0.034665,           0.0080389,                   0,               0.006,               0.006,               0.006
                 152,            0.029861,             0.01312,                   0,             0.92787,             0.87654,             0.91062,             0.38483,            0.032488,            0.009578,                   0,           0.0059581,           0.0059581,           0.0059581
                 153,            0.030146,            0.013689,                   0,             0.92207,             0.87644,             0.90296,             0.38351,            0.036007,           0.0092057,                   0,           0.0059162,           0.0059162,           0.0059162
                 154,            0.028692,            0.013059,                   0,             0.84245,             0.89506,             0.84587,             0.33319,            0.033747,           0.0082093,                   0,           0.0058744,           0.0058744,           0.0058744
                 155,            0.029182,            0.013514,                   0,             0.90795,              0.9133,             0.90898,             0.38204,            0.033928,           0.0087112,                   0,           0.0058325,           0.0058325,           0.0058325
                 156,            0.029949,            0.013468,                   0,             0.94128,             0.89506,             0.92359,             0.38382,            0.031311,           0.0084897,                   0,           0.0057907,           0.0057907,           0.0057907
                 157,            0.028602,            0.013534,                   0,             0.92633,              0.9321,             0.93479,             0.40658,            0.031804,           0.0079715,                   0,           0.0057488,           0.0057488,           0.0057488
                 158,            0.029043,            0.013248,                   0,             0.90499,             0.88272,             0.90702,             0.37552,            0.031623,            0.011149,                   0,            0.005707,            0.005707,            0.005707
                 159,            0.027921,            0.013407,                   0,             0.82044,             0.90741,             0.88326,             0.33625,            0.028865,            0.010545,                   0,           0.0056653,           0.0056653,           0.0056653
